"region","type","date","locations","rooms","rooms_capacity"
"Region Syddanmark","Hoteller og Feriecentre i alt","2016-10-01",150,11788,56
"Region Syddanmark","Hoteller og Feriecentre i alt","2016-11-01",147,11669,50
"Region Syddanmark","Hoteller og Feriecentre i alt","2016-12-01",144,11553,33
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-01-01",145,11632,37
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-02-01",145,11673,39
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-03-01",148,11741,46
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-04-01",150,11843,48
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-05-01",151,11866,54
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-06-01",152,11886,59
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-07-01",152,11840,67
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-08-01",154,11958,67
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-09-01",156,12043,59
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-10-01",153,11956,57
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-11-01",152,11890,50
"Region Syddanmark","Hoteller og Feriecentre i alt","2017-12-01",148,11741,34
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-01-01",147,11716,39
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-02-01",147,11736,39
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-03-01",152,11937,46
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-04-01",153,11992,46
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-05-01",154,12038,55
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-06-01",154,12040,59
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-07-01",154,12011,68
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-08-01",155,12050,66
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-09-01",154,12038,59
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-10-01",153,12227,58
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-11-01",152,12163,52
"Region Syddanmark","Hoteller og Feriecentre i alt","2018-12-01",149,12059,34
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-01-01",149,12106,39
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-02-01",150,12143,42
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-03-01",153,12421,45
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-04-01",154,12442,49
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-05-01",157,12672,54
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-06-01",158,12717,58
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-07-01",157,12672,68
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-08-01",160,12750,65
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-09-01",159,12736,57
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-10-01",157,12701,58
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-11-01",157,12646,51
"Region Syddanmark","Hoteller og Feriecentre i alt","2019-12-01",154,12488,33
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-01-01",152,12367,38
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-02-01",153,12510,40
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-03-01",166,12876,19
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-04-01",169,12990,7
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-05-01",171,13009,12
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-06-01",171,13032,27
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-07-01",170,12986,63
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-08-01",171,13054,54
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-09-01",173,13160,46
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-10-01",171,13111,43
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-11-01",168,13005,30
"Region Syddanmark","Hoteller og Feriecentre i alt","2020-12-01",165,12877,17
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-01-01",160,12635,10
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-02-01",160,12684,12
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-03-01",167,12896,14
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-04-01",168,12931,16
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-05-01",169,12956,33
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-06-01",169,12974,46
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-07-01",166,12849,69
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-08-01",169,13062,70
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-09-01",169,13005,67
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-10-01",167,12951,66
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-11-01",164,12824,58
"Region Syddanmark","Hoteller og Feriecentre i alt","2021-12-01",160,12726,30
"Region Syddanmark","Hoteller og Feriecentre i alt","2022-01-01",150,11815,25
"Region Syddanmark","Hoteller og Feriecentre i alt","2022-02-01",152,12284,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-01-01",94,6377,31
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-02-01",92,6231,35
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-03-01",93,6346,37
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-04-01",95,6412,37
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-05-01",94,6410,42
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-06-01",93,6317,46
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-07-01",94,6318,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-08-01",93,6336,59
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-09-01",94,6345,53
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-10-01",91,6227,46
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-11-01",88,6136,42
"Region Midtjylland","Hoteller og Feriecentre i alt","1992-12-01",84,5863,25
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-01-01",86,5930,32
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-02-01",90,6047,34
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-03-01",89,6005,42
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-04-01",90,6019,37
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-05-01",90,5957,42
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-06-01",93,6048,49
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-07-01",94,6008,59
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-08-01",93,5999,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-09-01",92,5991,55
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-10-01",88,5883,45
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-11-01",86,5628,44
"Region Midtjylland","Hoteller og Feriecentre i alt","1993-12-01",86,5701,25
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-01-01",87,5622,36
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-02-01",87,5626,39
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-03-01",90,5832,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-04-01",88,5778,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-05-01",88,5777,49
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-06-01",92,5930,52
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-07-01",92,5976,58
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-08-01",91,5952,58
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-09-01",89,5929,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-10-01",88,5820,48
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-11-01",86,5751,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1994-12-01",86,5816,29
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-01-01",88,5829,37
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-02-01",90,5881,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-03-01",91,5948,44
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-04-01",93,6113,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-05-01",91,6042,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-06-01",91,5968,53
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-07-01",91,6013,60
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-08-01",90,5956,60
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-09-01",92,6297,59
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-10-01",91,6179,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-11-01",92,6321,47
"Region Midtjylland","Hoteller og Feriecentre i alt","1995-12-01",91,6279,26
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-01-01",91,6013,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-02-01",91,6023,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-03-01",93,6204,47
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-04-01",94,6342,43
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-05-01",94,6354,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-06-01",95,6380,51
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-07-01",94,6332,61
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-08-01",95,6380,59
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-09-01",94,6351,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-10-01",94,6325,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-11-01",90,5980,53
"Region Midtjylland","Hoteller og Feriecentre i alt","1996-12-01",90,6007,28
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-01-01",86,5662,38
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-02-01",88,5824,44
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-03-01",90,5999,44
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-04-01",88,5991,50
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-05-01",89,6133,49
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-06-01",90,6161,53
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-07-01",90,6155,61
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-08-01",90,6155,58
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-09-01",89,6127,60
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-10-01",88,5991,52
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-11-01",87,5978,49
"Region Midtjylland","Hoteller og Feriecentre i alt","1997-12-01",87,5966,27
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-01-01",86,5998,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-02-01",88,6055,42
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-03-01",89,6067,45
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-04-01",89,6074,39
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-05-01",90,6228,43
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-06-01",91,6260,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-07-01",91,6186,61
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-08-01",91,6239,62
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-09-01",90,6227,58
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-10-01",89,6081,55
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-11-01",88,6061,51
"Region Midtjylland","Hoteller og Feriecentre i alt","1998-12-01",87,6015,27
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-01-01",87,5996,37
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-02-01",87,5998,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-03-01",88,6018,46
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-04-01",88,6018,41
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-05-01",89,6164,48
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-06-01",90,6176,53
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-07-01",89,6179,57
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-08-01",89,6179,56
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-09-01",88,6167,56
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-10-01",87,6017,48
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-11-01",86,6001,52
"Region Midtjylland","Hoteller og Feriecentre i alt","1999-12-01",86,6001,27
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-01-01",87,6190,35
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-02-01",87,6190,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-03-01",87,6190,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-04-01",87,6190,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-05-01",89,6356,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-06-01",90,6362,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-07-01",89,6339,58
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-08-01",90,6394,58
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-09-01",89,6382,56
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-10-01",88,6235,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-11-01",88,6255,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2000-12-01",86,5973,29
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-01-01",88,6248,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-02-01",88,6247,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-03-01",88,6230,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-04-01",90,6250,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-05-01",92,6414,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-06-01",93,6426,49
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-07-01",92,6330,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-08-01",93,6484,57
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-09-01",91,6453,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-10-01",91,6461,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-11-01",90,6435,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2001-12-01",89,6339,25
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-01-01",87,6340,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-02-01",85,6256,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-03-01",86,6310,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-04-01",86,6310,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-05-01",89,6414,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-06-01",90,6426,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-07-01",90,6426,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-08-01",90,6426,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-09-01",89,6410,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-10-01",88,6393,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-11-01",87,6373,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2002-12-01",86,6346,29
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-01-01",84,6130,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-02-01",86,6316,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-03-01",86,6315,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-04-01",88,6372,39
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-05-01",88,6371,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-06-01",89,6383,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-07-01",87,6288,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-08-01",88,6356,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-09-01",87,6344,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-10-01",87,6301,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-11-01",86,6326,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2003-12-01",85,6300,25
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-01-01",87,6402,34
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-02-01",89,6577,38
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-03-01",89,6577,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-04-01",90,6595,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-05-01",90,6595,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-06-01",91,6607,49
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-07-01",91,6607,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-08-01",91,6607,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-09-01",90,6595,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-10-01",89,6577,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-11-01",89,6581,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2004-12-01",89,6577,26
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-01-01",86,6253,34
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-02-01",86,6379,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-03-01",86,6383,39
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-04-01",87,6397,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-05-01",86,6382,41
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-06-01",87,6374,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-07-01",87,6356,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-08-01",89,6419,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-09-01",88,6406,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-10-01",87,6376,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-11-01",87,6393,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2005-12-01",87,6387,28
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-01-01",84,5875,39
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-02-01",85,5986,41
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-03-01",84,5940,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-04-01",84,5931,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-05-01",86,6281,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-06-01",87,6310,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-07-01",86,6239,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-08-01",88,6317,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-09-01",85,5981,58
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-10-01",85,5981,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-11-01",85,5981,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2006-12-01",84,5939,30
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-01-01",82,5726,41
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-02-01",85,5949,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-03-01",85,5958,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-04-01",85,5958,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-05-01",86,5988,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-06-01",88,6010,56
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-07-01",87,5965,62
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-08-01",88,6013,61
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-09-01",87,6031,61
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-10-01",87,6044,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-11-01",86,6028,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2007-12-01",85,5988,30
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-01-01",86,6120,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-02-01",88,6273,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-03-01",88,6337,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-04-01",88,6377,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-05-01",88,6373,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-06-01",88,6454,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-07-01",89,6445,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-08-01",90,6485,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-09-01",89,6511,57
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-10-01",90,6503,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-11-01",89,6492,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2008-12-01",89,6515,32
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-01-01",88,6341,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-02-01",89,6487,38
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-03-01",89,6507,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-04-01",89,6508,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-05-01",90,6527,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-06-01",91,6539,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-07-01",91,6538,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-08-01",90,6509,49
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-09-01",90,6556,54
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-10-01",90,6556,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-11-01",89,6538,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2009-12-01",89,6538,28
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-01-01",94,6777,32
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-02-01",95,6923,35
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-03-01",95,6990,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-04-01",95,6923,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-05-01",95,6871,42
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-06-01",96,6953,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-07-01",97,6948,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-08-01",97,6902,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-09-01",96,6891,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-10-01",95,6873,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-11-01",95,6873,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2010-12-01",95,6873,32
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-01-01",111,7447,30
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-02-01",112,7620,35
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-03-01",112,7618,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-04-01",113,7610,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-05-01",114,7628,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-06-01",116,7675,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-07-01",116,7671,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-08-01",116,7679,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-09-01",115,7668,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-10-01",112,7601,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-11-01",111,7476,45
"Region Midtjylland","Hoteller og Feriecentre i alt","2011-12-01",111,7464,29
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-01-01",108,7315,33
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-02-01",109,7469,35
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-03-01",109,7468,41
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-04-01",109,7483,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-05-01",110,7543,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-06-01",112,7802,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-07-01",110,7728,49
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-08-01",111,7793,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-09-01",112,7817,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-10-01",110,7770,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-11-01",108,7721,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2012-12-01",108,7735,28
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-01-01",104,7507,33
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-02-01",106,7691,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-03-01",107,7715,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-04-01",109,7739,39
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-05-01",108,7708,44
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-06-01",111,7753,48
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-07-01",110,7676,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-08-01",111,7748,53
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-09-01",110,7693,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-10-01",108,7573,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-11-01",107,7603,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2013-12-01",105,7488,30
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-01-01",107,7538,37
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-02-01",108,7543,36
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-03-01",109,7576,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-04-01",112,7659,40
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-05-01",112,7649,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-06-01",111,7611,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-07-01",111,7793,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-08-01",113,7882,52
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-09-01",113,7878,51
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-10-01",110,7785,46
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-11-01",110,7785,47
"Region Midtjylland","Hoteller og Feriecentre i alt","2014-12-01",109,7763,30
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-01-01",107,7572,33
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-02-01",109,7702,38
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-03-01",110,7733,43
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-04-01",111,7751,41
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-05-01",112,7786,50
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-06-01",112,7817,55
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-07-01",108,7464,58
"Region Midtjylland","Hoteller og Feriecentre i alt","2015-08-01",111,7781,57
